mapping,subzone,coordinates,centroids
"[{'Y': '32140.0267', 'X': '29524.3435', 'CATEGORY': 'Building', 'SEARCHVAL': 'MACKENZIE 138'}, {'Y': '32088.6176', 'X': '29598.5979', 'CATEGORY': 'Building', 'SEARCHVAL': 'MACKENZIE 88'}, {'Y': '31931.0801', 'X': '29737.2264', 'CATEGORY': 'Building', 'SEARCHVAL': 'MACKENZIE MOTOR VEHICLES TRADING CENTRE'}, {'Y': '31885.1566', 'X': '29799.1820', 'CATEGORY': 'Building', 'SEARCHVAL': 'MACKENZIE REGENCY'}, {'Y': '32022.2020', 'X': '29634.2724', 'CATEGORY': 'CATD', 'SEARCHVAL': 'MACKENZIE ROAD'}]",Mackenzie,"[(1.283281243582641, 103.87051800372275), (1.2839527809044242, 103.87005608251359), (1.2852065082451767, 103.86864056353464)]","(1.2841468442440807, 103.86973821659033)"
"[{'Y': '31865.0683', 'X': '29593.8332', 'CATEGORY': 'Building', 'SEARCHVAL': 'MOUNT EMILY PARK'}, {'Y': '31895.6168', 'X': '29703.0982', 'CATEGORY': 'CATE', 'SEARCHVAL': 'MOUNT EMILY ROAD'}]",Mount Emily,"[(1.2839097188781927, 103.86804740384113), (1.2848978692508584, 103.8683219075256)]","(0.856269196043017, 69.24545643712224)"
"[{'Y': '31919.1671', 'X': '30636.2931', 'CATEGORY': 'Building', 'SEARCHVAL': 'ROCHOR CANAL'}, {'Y': '31807.9299', 'X': '30172.2039', 'CATEGORY': 'CATB', 'SEARCHVAL': 'ROCHOR CANAL ROAD'}]",Rochor Canal,"[(1.2933373516659972, 103.86853363217848), (1.2891403065010762, 103.86753406257033)]","(0.8608258860556912, 69.2453558982496)"
"[{'Y': '31392.2414', 'X': '29843.4799', 'CATEGORY': 'Building', 'SEARCHVAL': 'SELEGIE ARTS CENTRE'}, {'Y': '31824.1515', 'X': '29858.6035', 'CATEGORY': 'Building', 'SEARCHVAL': 'SELEGIE CENTRE'}, {'Y': '31707.3493', 'X': '29842.1719', 'CATEGORY': 'Building', 'SEARCHVAL': 'SELEGIE COURT'}, {'Y': '31727.4972', 'X': '29911.3976', 'CATEGORY': 'Building', 'SEARCHVAL': 'SELEGIE HOUSE'}, {'Y': '31614.6640', 'X': '29862.0462', 'CATEGORY': 'CATB', 'SEARCHVAL': 'SELEGIE ROAD'}]",Selegie,"[(1.2861674902085176, 103.86379889547936), (1.2863042131252718, 103.86767978234052), (1.286155625525105, 103.86663026588026)]","(1.2862091096196315, 103.86603631456671)"
"[{'Y': '31846.3502', 'X': '30127.6527', 'CATEGORY': 'CATB', 'SEARCHVAL': 'SUNGEI ROAD'}, {'Y': '31803.8473', 'X': '30423.9084', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'SUNGEI ROAD (NEXT TO SIM LIM TOWER) (COMMUNITY USE SITES)'}]",Sungei Road,"[(1.2887373964777722, 103.86787927929937), (1.2914166336695279, 103.86749740910142)]","(0.8600513433824334, 69.24512556280025)"
"[{'Y': '32067.5581', 'X': '31167.0552', 'CATEGORY': 'Building', 'SEARCHVAL': 'VICTORIA BRIDGE'}, {'Y': '33461.8105', 'X': '34788.9018', 'CATEGORY': 'Education', 'SEARCHVAL': 'VICTORIA EDUHUB (PRIVATE EDUCATION INSTITUTIONS)'}, {'Y': '31052.2420', 'X': '30128.2860', 'CATEGORY': 'Building', 'SEARCHVAL': 'VICTORIA HOTEL'}, {'Y': '31052.2420', 'X': '30128.2867', 'CATEGORY': 'Community', 'SEARCHVAL': 'VICTORIA HOTEL (FRIENDLY BUILDINGS)'}, {'Y': '31052.2420', 'X': '30128.2867', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'VICTORIA HOTEL (HOTELS)'}, {'Y': '32005.3411', 'X': '37594.6548', 'CATEGORY': 'Building', 'SEARCHVAL': 'VICTORIA JUNIOR COLLEGE'}, {'Y': '32005.3419', 'X': '37594.6552', 'CATEGORY': 'Community', 'SEARCHVAL': 'VICTORIA JUNIOR COLLEGE (FRIENDLY BUILDINGS)'}, {'Y': '31815.4485', 'X': '30725.6437', 'CATEGORY': 'CATE', 'SEARCHVAL': 'VICTORIA LANE'}, {'Y': '30082.8443', 'X': '30058.4951', 'CATEGORY': 'Culture', 'SEARCHVAL': 'VICTORIA MEMORIAL HALL (HISTORIC SITES)'}, {'Y': '36761.7728', 'X': '39205.8652', 'CATEGORY': 'Family', 'SEARCHVAL': 'VICTORIA MONTESSORI SCHOOLHOUSE PTE. LTD. (CHILD CARE SERVICES)'}, {'Y': '33388.9676', 'X': '24744.1756', 'CATEGORY': 'Building', 'SEARCHVAL': 'VICTORIA PARK'}, {'Y': '33467.0469', 'X': '24660.5562', 'CATEGORY': 'CATE', 'SEARCHVAL': 'VICTORIA PARK CLOSE'}, {'Y': '33791.6469', 'X': '24626.6672', 'CATEGORY': 'CATE', 'SEARCHVAL': 'VICTORIA PARK GROVE'}, {'Y': '33538.2431', 'X': '24751.5811', 'CATEGORY': 'CATE', 'SEARCHVAL': 'VICTORIA PARK ROAD'}, {'Y': '33773.5771', 'X': '24695.0400', 'CATEGORY': 'Building', 'SEARCHVAL': 'VICTORIA PARK VILLAS'}, {'Y': '32297.1652', 'X': '38493.9275', 'CATEGORY': 'Building', 'SEARCHVAL': 'VICTORIA SCHOOL'}, {'Y': '32297.1656', 'X': '38493.9282', 'CATEGORY': 'Community', 'SEARCHVAL': 'VICTORIA SCHOOL (FRIENDLY BUILDINGS)'}, {'Y': '31435.3623', 'X': '30500.0731', 'CATEGORY': 'CATB', 'SEARCHVAL': 'VICTORIA STREET'}, {'Y': '31418.9687', 'X': '30486.2932', 'CATEGORY': 'Building', 'SEARCHVAL': 'VICTORIA STREET - ERP(1)'}, {'Y': '31682.8679', 'X': '30714.7659', 'CATEGORY': 'Community', 'SEARCHVAL': 'VICTORIA STREET BY ARAB STREET TOWARDS LAVENDER STREET (SINGAPORE POLICE FORCE DIGITAL TRAFFIC RED LIGHT CAMERAS)'}]",Victoria,"[(1.2981373575030737, 103.8698670571256), (1.3308918340880433, 103.88239566911528), (1.2887432111507309, 103.86074389226283)]","(1.3059241342472827, 103.87100220616792)"
"[{'Y': '45241.8604', 'X': '33044.2033', 'CATEGORY': 'Building', 'SEARCHVAL': 'PULAU PUNGGOL BARAT'}]",Pulau Punggol Barat,"[(1.315109051414182, 103.98824485883156)]","(0.43836968380472735, 34.662748286277186)"
"[{'Y': '44568.2362', 'X': '34437.3006', 'CATEGORY': 'Building', 'SEARCHVAL': 'PULAU PUNGGOL TIMOR'}]",Pulau Punggol Timor,"[(1.3277080587368062, 103.98219277741337)]","(0.44256935291226873, 34.66073092580446)"
"[{'Y': '44080.2334', 'X': '32505.2686', 'CATEGORY': 'CATE', 'SEARCHVAL': 'SELETAR AEROSPACE AVENUE'}, {'Y': '42694.8712', 'X': '30886.2806', 'CATEGORY': 'CATD', 'SEARCHVAL': 'SELETAR AEROSPACE CRESCENT'}, {'Y': '43004.5945', 'X': '31664.9713', 'CATEGORY': 'CATC', 'SEARCHVAL': 'SELETAR AEROSPACE DRIVE'}, {'Y': '42443.1633', 'X': '31891.2240', 'CATEGORY': 'Building', 'SEARCHVAL': 'SELETAR AEROSPACE FLYOVER'}, {'Y': '43081.1085', 'X': '31603.2504', 'CATEGORY': 'CATD', 'SEARCHVAL': 'SELETAR AEROSPACE HEIGHTS'}, {'Y': '43249.4609', 'X': '30957.3257', 'CATEGORY': 'CATE', 'SEARCHVAL': 'SELETAR AEROSPACE LANE'}, {'Y': '42939.3414', 'X': '30822.2289', 'CATEGORY': 'CATD', 'SEARCHVAL': 'SELETAR AEROSPACE LINK'}, {'Y': '42919.2737', 'X': '31748.9775', 'CATEGORY': 'CATD', 'SEARCHVAL': 'SELETAR AEROSPACE RISE'}, {'Y': '43864.1959', 'X': '32383.8938', 'CATEGORY': 'CATE', 'SEARCHVAL': 'SELETAR AEROSPACE ROAD 1'}, {'Y': '44187.2441', 'X': '32445.0057', 'CATEGORY': 'CATE', 'SEARCHVAL': 'SELETAR AEROSPACE ROAD 2'}, {'Y': '43739.8374', 'X': '31995.4129', 'CATEGORY': 'Building', 'SEARCHVAL': 'SELETAR AEROSPACE TRAINING COMPLEX'}, {'Y': '43726.4163', 'X': '32074.7088', 'CATEGORY': 'CATD', 'SEARCHVAL': 'SELETAR AEROSPACE VIEW'}, {'Y': '42839.5967', 'X': '31952.2192', 'CATEGORY': 'CATB', 'SEARCHVAL': 'SELETAR AEROSPACE WAY'}, {'Y': '42703.9513', 'X': '32235.6062', 'CATEGORY': 'Culture', 'SEARCHVAL': 'SELETAR AIRFIELD (HISTORIC SITES)'}, {'Y': '44777.2521', 'X': '31520.2726', 'CATEGORY': 'Building', 'SEARCHVAL': 'SELETAR AIRPORT'}, {'Y': '44518.6765', 'X': '31472.5063', 'CATEGORY': 'Building', 'SEARCHVAL': 'SELETAR AIRPORT PASSENGER TERMINAL BUILDING'}, {'Y': '44502.6002', 'X': '31444.4474', 'CATEGORY': 'Community', 'SEARCHVAL': 'SELETAR AIRPORT, 556 WEST CAMP ROAD, SINGAPORE 797794 (AXS STATION)'}, {'Y': '43636.4915', 'X': '32664.2096', 'CATEGORY': 'Building', 'SEARCHVAL': 'SELETAR CAMP'}, {'Y': '43620.8927', 'X': '32566.2220', 'CATEGORY': 'Community', 'SEARCHVAL': 'SELETAR CAMP, 246 PICCADILLY, SINGAPORE 797770 (AXS STATION)'}, {'Y': '40471.7299', 'X': '31925.5648', 'CATEGORY': 'CATE', 'SEARCHVAL': 'SELETAR CLOSE'}]",Seletar,"[(1.310235761696178, 103.97780681114594), (1.2955949347898212, 103.96535793220865), (1.3026369723555824, 103.96814129628982)]","(1.3028225562805271, 103.97043534654813)"
[],Seletar Aerospace Park,[],"(0.0, 0.0)"
"[{'Y': '45470.4564', 'X': '23428.6486', 'CATEGORY': 'Community', 'SEARCHVAL': 'ADMIRALTY CONSTITUENCY OFFICE (CONSTITUENCY OFFICES)'}, {'Y': '48027.0002', 'X': '26190.3441', 'CATEGORY': 'CATD', 'SEARCHVAL': 'ADMIRALTY DRIVE'}, {'Y': '46923.0729', 'X': '24981.9051', 'CATEGORY': 'Building', 'SEARCHVAL': 'ADMIRALTY FLORA'}, {'Y': '46643.2891', 'X': '24785.1351', 'CATEGORY': 'Building', 'SEARCHVAL': 'ADMIRALTY GROVE'}, {'Y': '47784.0555', 'X': '26974.1459', 'CATEGORY': 'Building', 'SEARCHVAL': 'ADMIRALTY HILL'}, {'Y': '48400.4454', 'X': '23833.2194', 'CATEGORY': 'Building', 'SEARCHVAL': 'ADMIRALTY INDUSTRIAL PARK'}, {'Y': '48818.3843', 'X': '26245.6742', 'CATEGORY': 'CATD', 'SEARCHVAL': 'ADMIRALTY LANE'}, {'Y': '48538.6998', 'X': '26249.4571', 'CATEGORY': 'CATD', 'SEARCHVAL': 'ADMIRALTY LINK'}, {'Y': '46918.1131', 'X': '24402.1063', 'CATEGORY': 'Building', 'SEARCHVAL': 'ADMIRALTY MRT STATION'}, {'Y': '46918.1122', 'X': '24402.1072', 'CATEGORY': 'Community', 'SEARCHVAL': 'ADMIRALTY MRT STATION - 1 (SAM KIOSK)'}, {'Y': '46918.1122', 'X': '24402.1072', 'CATEGORY': 'Community', 'SEARCHVAL': 'ADMIRALTY MRT STATION - 2 (SAM KIOSK)'}, {'Y': '46918.1122', 'X': '24402.1072', 'CATEGORY': 'Community', 'SEARCHVAL': 'ADMIRALTY MRT STATION (NS10) (FRIENDLY BUILDINGS)'}, {'Y': '46882.1345', 'X': '24391.7567', 'CATEGORY': 'Building', 'SEARCHVAL': 'ADMIRALTY MRT STATION EXIT A'}, {'Y': '46887.2688', 'X': '24376.6208', 'CATEGORY': 'Building', 'SEARCHVAL': 'ADMIRALTY MRT STATION EXIT B'}, {'Y': '46917.0591', 'X': '24342.9444', 'CATEGORY': 'Building', 'SEARCHVAL': 'ADMIRALTY MRT STATION EXIT C'}, {'Y': '46912.4054', 'X': '24444.0086', 'CATEGORY': 'Building', 'SEARCHVAL': 'ADMIRALTY MRT STATION EXIT D'}, {'Y': '46929.2810', 'X': '24396.0970', 'CATEGORY': 'Community', 'SEARCHVAL': 'ADMIRALTY MRT STATION, 70 WOODLANDS AVENUE 7, SINGAPORE 738344 (AXS STATION)'}, {'Y': '47902.6730', 'X': '21968.4895', 'CATEGORY': 'Building', 'SEARCHVAL': 'ADMIRALTY PARK'}, {'Y': '47125.4046', 'X': '22570.2954', 'CATEGORY': 'Environment', 'SEARCHVAL': 'ADMIRALTY PARK (GREEN MARK BUILDINGS)'}, {'Y': '46840.2619', 'X': '24491.4688', 'CATEGORY': 'Building', 'SEARCHVAL': 'ADMIRALTY PLACE'}]",Admiralty,"[(1.2281495392606767, 103.99029364869227), (1.2531237719489015, 104.01326630112949), (1.242195785712852, 104.00334654215598)]","(1.24115636564081, 104.00230216399257)"
[],Sembawang Central,[],"(0.0, 0.0)"
[],Sembawang East,[],"(0.0, 0.0)"
[],Sembawang North,[],"(0.0, 0.0)"
"[{'Y': '46635.1114', 'X': '27218.5258', 'CATEGORY': 'Building', 'SEARCHVAL': 'SEMBAWANG SPRINGS ESTATE'}]",Sembawang Springs,"[(1.2624230829280676, 104.0007604307427)]","(0.4208076943093559, 34.6669201435809)"
"[{'Y': '48822.7908', 'X': '28443.3307', 'CATEGORY': 'Building', 'SEARCHVAL': 'SEMBAWANG STRAITS ESTATE'}]",Sembawang Straits,"[(1.2734983821839279, 104.02041812873043)]","(0.42449946072797595, 34.67347270957681)"
[],Senoko North,[],"(0.0, 0.0)"
"[{'Y': '48723.9794', 'X': '24764.5283', 'CATEGORY': 'CATD', 'SEARCHVAL': 'SENOKO SOUTH ROAD'}]",Senoko South,"[(1.2402288184592185, 104.01952792153413)]","(0.4134096061530728, 34.673175973844714)"
[],The Wharves,[],"(0.0, 0.0)"
"[{'Y': '42180.4066', 'X': '33841.5508', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANCHORVALE BRIDGE'}, {'Y': '42112.8901', 'X': '33936.8206', 'CATEGORY': 'Community', 'SEARCHVAL': 'ANCHORVALE CC (COMMUNITY CLUBS)'}, {'Y': '41597.9218', 'X': '33927.8976', 'CATEGORY': 'CATD', 'SEARCHVAL': 'ANCHORVALE CLOSE'}, {'Y': '42107.9560', 'X': '33939.9979', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANCHORVALE COMMUNITY CLUB'}, {'Y': '42112.8897', 'X': '33936.8196', 'CATEGORY': 'Community', 'SEARCHVAL': 'ANCHORVALE COMMUNITY CLUB (CC) (FRIENDLY BUILDINGS)'}, {'Y': '42112.8901', 'X': '33936.8206', 'CATEGORY': 'Environment', 'SEARCHVAL': 'ANCHORVALE COMMUNITY CLUB (GREEN MARK BUILDINGS)'}, {'Y': '42102.0625', 'X': '33939.5261', 'CATEGORY': 'Community', 'SEARCHVAL': 'ANCHORVALE COMMUNITY CLUB, 59 ANCHORVALE ROAD, SINGAPORE 544965 (AXS STATION)'}, {'Y': '41091.6181', 'X': '34187.9768', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANCHORVALE COURT'}, {'Y': '42145.4409', 'X': '34274.9346', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANCHORVALE COVE'}, {'Y': '42285.0707', 'X': '34385.6485', 'CATEGORY': 'CATD', 'SEARCHVAL': 'ANCHORVALE CRESCENT'}, {'Y': '41380.2468', 'X': '34242.4373', 'CATEGORY': 'CATC', 'SEARCHVAL': 'ANCHORVALE DRIVE'}, {'Y': '41740.5672', 'X': '33933.7581', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANCHORVALE FIELDS'}, {'Y': '41431.2623', 'X': '34212.9492', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANCHORVALE GARDENS'}, {'Y': '41554.5928', 'X': '34196.1423', 'CATEGORY': 'National Service', 'SEARCHVAL': 'ANCHORVALE GARDENS (IPPT IN YOUR COMMUNITY)'}, {'Y': '41361.6307', 'X': '34419.5044', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANCHORVALE GROVE'}, {'Y': '42010.6217', 'X': '34288.0956', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANCHORVALE HARVEST'}, {'Y': '41967.0088', 'X': '34189.7820', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANCHORVALE HORIZON'}, {'Y': '41857.4890', 'X': '34489.3171', 'CATEGORY': 'Building', 'SEARCHVAL': 'ANCHORVALE ISLES'}, {'Y': '41560.0708', 'X': '33687.5284', 'CATEGORY': 'CATD', 'SEARCHVAL': 'ANCHORVALE LANE'}, {'Y': '41642.1437', 'X': '33702.0554', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'ANCHORVALE LANE (BLK 311C) (COMMUNITY USE SITES)'}]",Anchorvale,"[(1.3223215280341822, 103.96073660497534), (1.3231831435492443, 103.96012997869511), (1.323102680930431, 103.9555027211995)]","(1.3228691175046192, 103.95878976828998)"
"[{'Y': '40817.8167', 'X': '34640.2282', 'CATEGORY': 'Building', 'SEARCHVAL': 'COMPASSVALE ANCILLA'}, {'Y': '40906.5817', 'X': '34641.2746', 'CATEGORY': 'Environment', 'SEARCHVAL': 'COMPASSVALE ANCILLA (SENGKANG NEIGHBOURHOOD 2 CONTRACT 40) (GREEN MARK BUILDINGS)'}, {'Y': '40706.9525', 'X': '34508.3162', 'CATEGORY': 'Building', 'SEARCHVAL': 'COMPASSVALE ANCILLA PARK'}, {'Y': '40633.0381', 'X': '35092.1126', 'CATEGORY': 'Building', 'SEARCHVAL': 'COMPASSVALE ARCADIA'}, {'Y': '40545.4548', 'X': '35182.9329', 'CATEGORY': 'Community', 'SEARCHVAL': 'COMPASSVALE ARCADIA (FRIENDLY BUILDINGS)'}, {'Y': '40602.4386', 'X': '35054.2944', 'CATEGORY': 'National Service', 'SEARCHVAL': 'COMPASSVALE ARCADIA (IPPT IN YOUR COMMUNITY)'}, {'Y': '40829.5719', 'X': '35405.9094', 'CATEGORY': 'Building', 'SEARCHVAL': 'COMPASSVALE BEACON'}, {'Y': '40804.8057', 'X': '35424.0086', 'CATEGORY': 'Community', 'SEARCHVAL': 'COMPASSVALE BEACON (FRIENDLY BUILDINGS)'}, {'Y': '40749.8575', 'X': '35432.5323', 'CATEGORY': 'Environment', 'SEARCHVAL': 'COMPASSVALE BEACON (GREEN MARK BUILDINGS)'}, {'Y': '40787.9044', 'X': '35341.9066', 'CATEGORY': 'Community', 'SEARCHVAL': 'COMPASSVALE BEACON RC (RESIDENTS COMMITTEES)'}, {'Y': '42047.0959', 'X': '34960.4363', 'CATEGORY': 'Building', 'SEARCHVAL': 'COMPASSVALE BOARDWALK'}, {'Y': '40382.7946', 'X': '34701.4261', 'CATEGORY': 'CATD', 'SEARCHVAL': 'COMPASSVALE BOW'}, {'Y': '40310.6438', 'X': '34847.3614', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'COMPASSVALE BOW (BESIDE THE QUARTZ) (COMMUNITY USE SITES)'}, {'Y': '42297.5516', 'X': '34984.3385', 'CATEGORY': 'Building', 'SEARCHVAL': 'COMPASSVALE CAPE'}, {'Y': '41073.9433', 'X': '35491.3722', 'CATEGORY': 'Building', 'SEARCHVAL': 'COMPASSVALE COURT'}, {'Y': '42123.1665', 'X': '35219.1019', 'CATEGORY': 'CATD', 'SEARCHVAL': 'COMPASSVALE CRESCENT'}, {'Y': '40732.3396', 'X': '35192.8987', 'CATEGORY': 'Building', 'SEARCHVAL': 'COMPASSVALE CREST'}, {'Y': '41090.6908', 'X': '35085.4076', 'CATEGORY': 'CATC', 'SEARCHVAL': 'COMPASSVALE DRIVE'}, {'Y': '41588.6146', 'X': '35158.9968', 'CATEGORY': 'Building', 'SEARCHVAL': 'COMPASSVALE GARDENS'}, {'Y': '41612.0064', 'X': '35084.7229', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'COMPASSVALE GARDENS  RESIDENTS COMMITTEE (WIRELESS HOTSPOTS)'}]",Compassvale,"[(1.3295450710814367, 103.94849337438622), (1.3295544967658215, 103.94929097604958), (1.328352154600346, 103.94749714517121)]","(1.3291505741492016, 103.94842716520235)"
"[{'Y': '41569.8367', 'X': '33044.8513', 'CATEGORY': 'Building', 'SEARCHVAL': 'FERNVALE COURT'}, {'Y': '42427.1889', 'X': '32919.1055', 'CATEGORY': 'CATD', 'SEARCHVAL': 'FERNVALE CRESCENT'}, {'Y': '41746.4828', 'X': '32456.5546', 'CATEGORY': 'Building', 'SEARCHVAL': 'FERNVALE CREST'}, {'Y': '41762.9568', 'X': '32679.0118', 'CATEGORY': 'Building', 'SEARCHVAL': 'FERNVALE FLORA'}, {'Y': '41705.6909', 'X': '32602.3211', 'CATEGORY': 'Building', 'SEARCHVAL': 'FERNVALE FOLIAGE'}, {'Y': '41661.3343', 'X': '33016.3257', 'CATEGORY': 'Building', 'SEARCHVAL': 'FERNVALE GARDENS'}, {'Y': '41307.4682', 'X': '32641.0793', 'CATEGORY': 'Building', 'SEARCHVAL': 'FERNVALE GARDENS SCHOOL'}, {'Y': '41254.6176', 'X': '32627.9083', 'CATEGORY': 'Family', 'SEARCHVAL': 'FERNVALE GARDENS SCHOOL - REACH NETWORK (VOLUNTARY WELFARE ORGS)'}, {'Y': '41254.6176', 'X': '32627.9083', 'CATEGORY': 'Family', 'SEARCHVAL': 'FERNVALE GARDENS SCHOOL - SPMF (VOLUNTARY WELFARE ORGS)'}, {'Y': '41254.6175', 'X': '32627.9090', 'CATEGORY': 'Community', 'SEARCHVAL': 'FERNVALE GARDENS SCHOOL (MINDS) (FRIENDLY BUILDINGS)'}, {'Y': '41254.6176', 'X': '32627.9083', 'CATEGORY': 'Family', 'SEARCHVAL': 'FERNVALE GARDENS SCHOOL (VOLUNTARY WELFARE ORGS)'}, {'Y': '41606.7080', 'X': '32786.6493', 'CATEGORY': 'Building', 'SEARCHVAL': 'FERNVALE GROVE'}, {'Y': '41604.9262', 'X': '32822.6759', 'CATEGORY': 'Community', 'SEARCHVAL': 'FERNVALE GROVE (FRIENDLY BUILDINGS)'}, {'Y': '41254.4919', 'X': '32218.7174', 'CATEGORY': 'CATD', 'SEARCHVAL': 'FERNVALE LANE'}, {'Y': '41172.1888', 'X': '32418.6982', 'CATEGORY': 'Community', 'SEARCHVAL': 'FERNVALE LANE (FRIENDLY BUILDINGS)'}, {'Y': '41186.2541', 'X': '32134.2920', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'FERNVALE LANE (NEXT TO BLK 403B) (COMMUNITY USE SITES)'}, {'Y': '42060.0415', 'X': '32996.2705', 'CATEGORY': 'Building', 'SEARCHVAL': 'FERNVALE LEA'}, {'Y': '42111.1371', 'X': '33081.4444', 'CATEGORY': 'CATD', 'SEARCHVAL': 'FERNVALE LINK'}, {'Y': '41577.2987', 'X': '32480.5201', 'CATEGORY': 'Building', 'SEARCHVAL': 'FERNVALE LODGE'}, {'Y': '41533.2289', 'X': '32784.2264', 'CATEGORY': 'Building', 'SEARCHVAL': 'FERNVALE LRT STATION'}]",Fernvale,"[(1.3151167529166743, 103.95524997352221), (1.313979164600735, 103.96295363768479), (1.3097963390734622, 103.95683696308232)]","(1.3129640855302904, 103.95834685809643)"
[],Lorong Halus North,[],"(0.0, 0.0)"
"[{'Y': '41318.9501', 'X': '36472.4238', 'CATEGORY': 'Building', 'SEARCHVAL': 'RIVERVALE ARC'}, {'Y': '40975.3585', 'X': '36057.9981', 'CATEGORY': 'Building', 'SEARCHVAL': 'RIVERVALE BANK'}, {'Y': '41725.9650', 'X': '35618.2994', 'CATEGORY': 'Community', 'SEARCHVAL': 'RIVERVALE CC (COMMUNITY CLUBS)'}, {'Y': '40758.1380', 'X': '35673.1337', 'CATEGORY': 'CATE', 'SEARCHVAL': 'RIVERVALE CLOSE'}, {'Y': '41725.9657', 'X': '35618.2993', 'CATEGORY': 'Building', 'SEARCHVAL': 'RIVERVALE COMMUNITY CENTRE'}, {'Y': '41725.9656', 'X': '35618.2999', 'CATEGORY': 'Community', 'SEARCHVAL': 'RIVERVALE COMMUNITY CENTRE (CC) (FRIENDLY BUILDINGS)'}, {'Y': '40529.9096', 'X': '35396.6344', 'CATEGORY': 'Building', 'SEARCHVAL': 'RIVERVALE COURT'}, {'Y': '40605.1735', 'X': '35455.5570', 'CATEGORY': 'Community', 'SEARCHVAL': 'RIVERVALE COURT RC (RESIDENTS COMMITTEES)'}, {'Y': '40605.1732', 'X': '35455.5568', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'RIVERVALE COURT RESIDENTS COMMITTEE (WIRELESS HOTSPOTS)'}, {'Y': '41481.1963', 'X': '36271.9506', 'CATEGORY': 'CATD', 'SEARCHVAL': 'RIVERVALE CRESCENT'}, {'Y': '41127.7077', 'X': '36439.2076', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'RIVERVALE CRESCENT (BLK 183C) (COMMUNITY USE SITES)'}, {'Y': '41518.4789', 'X': '35894.2806', 'CATEGORY': 'Building', 'SEARCHVAL': 'RIVERVALE CREST'}, {'Y': '41235.8294', 'X': '36383.4342', 'CATEGORY': 'Building', 'SEARCHVAL': 'RIVERVALE DELTA'}, {'Y': '40725.5928', 'X': '35650.4787', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'RIVERVALE DR (NEXT TO BLK 113) (COMMUNITY USE SITES)'}, {'Y': '41024.1001', 'X': '35927.9822', 'CATEGORY': 'CATC', 'SEARCHVAL': 'RIVERVALE DRIVE'}, {'Y': '41123.8574', 'X': '35905.7687', 'CATEGORY': 'Community', 'SEARCHVAL': 'RIVERVALE DRIVE BY SENGKANG EAST WAY TOWARDS SENGKANG EAST AVENUE (SINGAPORE POLICE FORCE DIGITAL TRAFFIC RED LIGHT CAMERAS)'}, {'Y': '40589.7349', 'X': '35779.2967', 'CATEGORY': 'Building', 'SEARCHVAL': 'RIVERVALE EDGE'}, {'Y': '40800.9160', 'X': '35866.4993', 'CATEGORY': 'Building', 'SEARCHVAL': 'RIVERVALE GARDENS'}, {'Y': '40958.8684', 'X': '35989.6710', 'CATEGORY': 'Community', 'SEARCHVAL': 'RIVERVALE GARDENS RC (RESIDENTS COMMITTEES)'}, {'Y': '40958.8685', 'X': '35989.6711', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'RIVERVALE GARDENS RESIDENTS COMMITTEE (WIRELESS HOTSPOTS)'}]",Rivervale,"[(1.3461145462773432, 103.95299712974013), (1.3423667857535544, 103.94990957641747), (1.3383899831231707, 103.95665401411692)]","(1.3422904383846894, 103.95318690675816)"
[],Sengkang Town Centre,[],"(0.0, 0.0)"
